Structure ID,Cluster,Column,Position,Species,Type,Structure,Genotype,Size,Interval 1,Interval 2,Absolute_Change,Percent_Change,Relative Growth,Relative Growth/month,Relative growth/yr,SQRT Interval 1 ,SQRT Interval 2,AMR1,AMR2,Linear Extension (cm/month),Yearly ext (cm/year),Change in AMR,Yearly ext mm
O,1,1,1,D. labyrinthiformis Juvenile,Recruit,Module,NA,Small,0.048,0.71,0.662,1379.2,1379.166667,229.8611111,2758.333333,0.219089023,0.842614977,0.069738202,0.268212678,0.033079079,0.396948951,0.198474476,3.969489511
O,1,1,2,D. labyrinthiformis Juvenile,Recruit,Module,NA,Small,0.034,0.268,0.234,688.2,688.2352941,114.7058824,1376.470588,0.184390889,0.517687164,0.058693443,0.164784942,0.017681917,0.212182999,0.106091499,2.121829988
O,1,1,3,D. labyrinthiformis Juvenile,Recruit,Module,NA,Small,0.031,0.374,0.343,1106.5,1106.451613,184.4086022,2212.903226,0.176068169,0.611555394,0.056044239,0.194664128,0.023103315,0.277239778,0.138619889,2.772397783
O,1,1,4,D. labyrinthiformis Juvenile,Recruit,Module,NA,Large,0.193,0.363,0.17,88.1,88.08290155,14.68048359,176.1658031,0.439317653,0.602494813,0.139839152,0.191780055,0.008656817,0.103881807,0.051940903,1.038818068
O,1,1,5,D. labyrinthiformis Juvenile,Recruit,Module,NA,Small,0.022,0.166,0.144,654.5,654.5454545,109.0909091,1309.090909,0.14832397,0.407430976,0.047212986,0.129689308,0.013746054,0.164952643,0.082476322,1.649526432
O,1,2,1,D. labyrinthiformis Juvenile,Recruit,Module,NA,Small,0.054,0.739,0.685,1268.5,1268.518519,211.4197531,2537.037037,0.232379001,0.859651092,0.073968533,0.273635441,0.033277818,0.399333816,0.199666908,3.993338159
O,1,2,2,D. labyrinthiformis Juvenile,Recruit,Module,NA,Large,0.171,0.774,0.603,352.6,352.6315789,58.77192982,705.2631579,0.413521463,0.879772698,0.13162797,0.280040347,0.024735396,0.296824755,0.148412378,2.968247553
O,1,2,3,D. labyrinthiformis Juvenile,Recruit,Module,NA,Medium,0.134,0.547,0.413,308.2,308.2089552,51.3681592,616.4179104,0.366060104,0.739594483,0.11652055,0.235420236,0.019816614,0.237799371,0.118899686,2.377993714
O,1,2,4,D. labyrinthiformis Juvenile,Recruit,Module,NA,Medium,0.082,0.296,0.214,261.0,260.9756098,43.49593496,521.9512195,0.286356421,0.54405882,0.09115008,0.173179301,0.013671537,0.164058443,0.082029221,1.640584426
O,1,2,5,D. labyrinthiformis Juvenile,Recruit,Module,NA,Large,0.477,1.016,0.539,113.0,112.9979036,18.83298393,225.9958071,0.690651866,1.007968253,0.219841317,0.32084626,0.016834157,0.202009886,0.101004943,2.020098864
O,1,3,1,D. labyrinthiformis Juvenile,Recruit,Module,NA,Small,0.024,0.178,0.154,641.7,641.6666667,106.9444444,1283.333333,0.154919334,0.421900462,0.049312356,0.134295088,0.014163789,0.169965465,0.084982733,1.699654652
O,1,3,2,D. labyrinthiformis Juvenile,Recruit,Module,NA,Large,0.313,1.308,0.995,317.9,317.8913738,52.98189563,635.7827476,0.559464029,1.143678276,0.178082931,0.364044102,0.030993528,0.371922341,0.185961171,3.719223411
O,1,3,3,D. labyrinthiformis Juvenile,Recruit,Module,NA,Small,0.016,0,-0.016,-100.0,-100,-16.66666667,-200,0.126491106,0,0.04026337,0,-0.006710562,-0.080526739,-0.04026337,-0.805267394
