Nursery_Initial,Outplant_Initial
0.031,0.345
0.032,0.07
0.079,0.31
0.025,0.849
0.034,0.523
0.03,1.108
0.01,0.18
0.049,0.586
0.047,0.176
0.022,1.42
0.063,0.133
0.037,0.221
0.02,1.724
0.032,0.988
0.061,0.48
0.102,1.009
0.082,0.492
0.244,1.397
0.184,0.523
0.145,0.952
0.083,0.246
0.145,0.282
0.135,0.228
0.12,0.109
0.134,0.774
0.272,0.403
0.306,0.58
0.175,1.107
0.204,1.156
0.315,1.866
0.087,1.227
0.071,1.192
0.176,0.559
0.13,1.227
0.266,1.494
0.319,0.316
0.179,0.802
0.09,1.176
0.169,0.819
0.145,1.442
0.048,0.297
0.034,0.414
0.022,0.105
0.054,1.549
0.134,0.998
0.477,0.143
0.024,0.236
0.016,0.774
0.096,0.473
0.163,0.818
0.028,0.814
0.196,1.073
0.122,1.061
0.12,2.465
0.059,0.733
0.087,2.15
0.078,0.17
0.028,0.257
0.085,0.796
0.065,0.47
0.034,0.644
0.032,0.689
0.088,0.213
0.014,0.225
0.155,1.166
0.026,1.179
0.01,1.06
0.017,1.685
0.111,1.46
0.054,0.513
0.043,0.68
0.082,0.452
0.161,2.315
0.138,1.411
0.029,1.068
0.111,0.702
0.031,3.829
0.026,0.537
0.024,0.1
0.015,0.211
0.057,0.987
0.021,0.587
0.042,0.66
0.081,0.423
0.019,2.271
0.399,1.335
0.234,0.579
0.126,2.051
0.182,0.953
0.217,0.315
0.019,0.486
0.148,0.422
0.249,1.052
0.058,1.938
0.191,1.118
0.048,1.582
0.363,2.103
0.139,0.445
0.166,1.09
0.366,0.271
0.211,1.865
0.391,1.219
0.095,1.235
0.187,1.859
0.207,2.275
0.476,1.501
0.238,3.742
0.138,3.308
0.187,1.752
0.187,1.643
0.335,0.73
0.257,0.868
0.271,1.671
0.11,0.593
0.153,0.842
0.216,1.313
0.215,2.714
0.094,0.443
0.193,3.267
0.284,1.947
0.111,0.841
0.26,0.801
0.227,0.278
0.479,1.308
0.225,1.217
0.238,0.9
0.212,4.46
0.266,1.921
0.197,0.537
0.21,0.484
0.203,0.222
0.337,0.746
0.285,0.578
0.153,0.91
0.251,0.151
0.268,1.346
0.043,1.666
0.149,0.605
0.458,1.85
0.157,2.035
0.213,1.888
0.049,0.981
0.127,3.679
0.049,0.387
0.269,0.95
0.113,0.385
0.216,1.371
0.125,0.875
0.206,2.182
0.059,0.409
0.072,0.321
0.162,1.287
0.083,1.186
0.097,0.944
0.082,0.97
0.155,0.096
0.135,0.603
0.095,0.509
0.109,0.205
0.079,0.431
0.136,0.506
0.21,1.531
0.012,1.02
0.069,0.41
0.036,0.96
0.175,0.173
0.142,0.339
0.08,1.546
0.14,0.54
0.122,2.235
0.072,0.729
0.147,0.7
0.111,0.48
0.196,0.829
0.099,0.516
0.103,1.059
0.213,1.92
0.058,0.795
0.088,1.451
0.231,0.735
0.083,0.524
0.053,0.872
0.164,0.465
0.359,2
0.08,1.124
0.311,0.894
0.066,3.98
0.169,1.201
0.167,2.375
0.11,1.245
0.266,2.496
0.308,0.546
0.122,0.531
0.126,0.233
0.19,0.03
0.249,0.423
0.202,0.138
0.145,0.535
0.119,0.749
0.097,0.675
0.168,0.423
0.045,0.743
0.056,0.428
0.138,0.052
0.073,0.114
0.153,0.355
0.13,0.142
0.109,1.251
0.025,1.621
0.155,1.396
0.135,0.071
0.174,0.874
0.087,0.818
0.078,1.103
0.088,0.515
0.097,0.327
0.21,0.091
0.121,0.925
0.283,1.27
0.42,0.624
0.232,0.795
0.157,0.849
0.143,0.583
0.055,0.886
0.033,1.367
0.039,0.413
0.062,0.969
0.054,1.084
0.084,0.501
0.046,0.536
0.195,0.069
0.08,0.068
0.051,0.509
0.202,0.503
0.094,0.756
0.12,0.122
0.153,0.138
0.089,0.358
0.053,0.548
0.152,0.962
0.077,0.36
0.099,0.449
0.029,0.393
0.102,0.372
0.101,0.82
0.185,0.43
0.13,1.109
0.587,1.006
0.063,0.046
0.14,0.273
0.065,0.03
0.196,0.372
0.063,0.418
0.083,0.405
0.078,
0.08,
0.071,
0.105,
0.053,
0.065,
0.006,
0.124,
0.098,
0.265,
0.121,
0.058,
0.12,
0.169,
0.188,
0.232,
0.157,
0.143,
0.055,
0.042,
0.109,
0.184,
0.03,
0.062,
0.054,
0.076,
0.046,
0.195,
0.036,
0.054,
0.08,
0.051,
0.036,
0.094,
0.12,
0.153,
0.089,
0.053,
0.152,
0.077,
0.099,
0.029,
0.102,
0.101,
0.185,
0.13,
0.587,
0.063,
0.14,
0.196,
0.063,
0.083,
0.078,
0.08,
0.071,
0.105,
0.053,
0.065,
0.006,
0.124,
0.098,
0.265,
0.121,
0.058,
0.12,
0.169,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
