Event,Site,Reef,Nursery,Array,Position,Tag,Frag,Status,Area
2 Year,JA4,Inner Reef,Tree,H24,Low,10,1,0,0.345
2 Year,JA4,Inner Reef,Tree,H24,Low,10,2,1,0.07
2 Year,JA4,Inner Reef,Tree,H24,Low,10,3,1,0.31
2 Year,JA4,Inner Reef,Tree,H24,Low,10,4,0,0.849
2 Year,JA4,Inner Reef,Tree,H24,Low,30,1,0,0.523
2 Year,JA4,Inner Reef,Tree,H24,Low,30,2,0,1.108
2 Year,JA4,Inner Reef,Tree,H24,Low,30,3,0,0.18
2 Year,JA4,Inner Reef,Tree,H24,Low,30,4,0,0.586
2 Year,JA4,Inner Reef,Tree,H24,High,844,1,1,0.176
2 Year,JA4,Inner Reef,Tree,H24,High,844,2,0,1.42
2 Year,JA4,Inner Reef,Tree,H24,High,844,3,1,0.133
2 Year,JA4,Inner Reef,Tree,H24,High,844,4,0,0.221
2 Year,JA4,Inner Reef,Mod,H24,High,48,1,0,1.724
2 Year,JA4,Inner Reef,Mod,H24,High,48,2,0,0.988
2 Year,JA4,Inner Reef,Mod,H24,High,48,3,0,0.48
2 Year,JA4,Inner Reef,Mod,H24,High,48,4,0,1.009
2 Year,JA4,Inner Reef,Mod,H24,High,831,1,0,0.492
2 Year,JA4,Inner Reef,Mod,H24,High,831,2,0,1.397
2 Year,JA4,Inner Reef,Mod,H24,High,831,3,0,0.523
2 Year,JA4,Inner Reef,Mod,H24,High,831,4,1,0.952
2 Year,JA4,Inner Reef,Mod,H24,Low,46,1,0,0.246
2 Year,JA4,Inner Reef,Mod,H24,Low,46,2,1,0.282
2 Year,JA4,Inner Reef,Mod,H24,Low,46,3,1,0.228
2 Year,JA4,Inner Reef,Table,H24,Low,46,4,1,0.109
2 Year,JA4,Inner Reef,Table,H24,High,824,1,0,0.774
2 Year,JA4,Inner Reef,Mod,H24,High,824,2,0,0.403
2 Year,JA4,Inner Reef,Table,H24,High,824,3,1,0.58
2 Year,JA4,Inner Reef,Table,H24,High,824,4,1,1.107
2 Year,JA4,Inner Reef,Mod,H24,Low,1,1,0,1.156
2 Year,JA4,Inner Reef,Mod,H24,Low,1,2,0,1.866
2 Year,JA4,Inner Reef,Mod,H24,Low,1,3,0,1.227
2 Year,JA4,Inner Reef,Mod,H24,Low,1,4,0,1.192
2 Year,JA4,Inner Reef,Mod,H24,Low,20,1,0,0.559
2 Year,JA4,Inner Reef,Table,H24,Low,20,2,0,1.227
2 Year,JA4,Inner Reef,Mod,H24,Low,20,3,0,1.494
2 Year,JA4,Inner Reef,Mod,H24,Low,20,4,1,0.316
2 Year,JA4,Inner Reef,Mod,H24,High,1098,1,0,0.802
2 Year,JA4,Inner Reef,Mod,H24,High,1098,2,0,1.176
2 Year,JA4,Inner Reef,Mod,H24,High,1098,3,0,0.819
2 Year,JA4,Inner Reef,Mod,H24,High,1098,4,0,1.442
2 Year,JA4,Inner Reef,Tree,H24,Low,47,1,1,0.297
2 Year,JA4,Inner Reef,Tree,H24,Low,47,2,1,0.414
2 Year,JA4,Inner Reef,Tree,H24,Low,47,3,1,0.105
2 Year,JA4,Inner Reef,Tree,H24,Low,47,4,1,1.549
2 Year,JA4,Inner Reef,Table,H24,High,842,1,0,0.998
2 Year,JA4,Inner Reef,Table,H24,High,842,2,1,0.143
2 Year,JA4,Inner Reef,Table,H24,High,842,3,0,0.236
2 Year,JA4,Inner Reef,Mod,H24,High,842,4,1,0.774
2 Year,JA4,Inner Reef,Mod,G37,Low,873,1,1,0.473
2 Year,JA4,Inner Reef,Mod,G37,Low,873,2,1,0.818
2 Year,JA4,Inner Reef,Mod,G37,Low,873,3,1,0.814
2 Year,JA4,Inner Reef,Mod,G37,Low,873,4,1,1.073
2 Year,JA4,Inner Reef,Table,G37,High,940,1,1,1.061
2 Year,JA4,Inner Reef,Table,G37,High,940,2,1,2.465
2 Year,JA4,Inner Reef,Table,G37,High,940,3,1,0.733
2 Year,JA4,Inner Reef,Table,G37,High,940,4,1,2.15
2 Year,JA4,Inner Reef,Mod,G37,High,870,1,0,0.17
2 Year,JA4,Inner Reef,Mod,G37,High,870,2,1,0.257
2 Year,JA4,Inner Reef,Mod,G37,High,870,3,0,0.796
2 Year,JA4,Inner Reef,Mod,G37,High,870,4,0,0.47
2 Year,JA4,Inner Reef,Mod,G37,Low,894,1,0,0.644
2 Year,JA4,Inner Reef,Mod,G37,Low,894,2,0,0.689
2 Year,JA4,Inner Reef,Mod,G37,Low,894,3,0,0.213
2 Year,JA4,Inner Reef,Mod,G37,Low,894,4,0,0.225
2 Year,JA4,Inner Reef,Mod,G37,High,883,1,0,1.166
2 Year,JA4,Inner Reef,Mod,G37,High,883,2,0,1.179
2 Year,JA4,Inner Reef,Mod,G37,High,883,3,0,1.06
2 Year,JA4,Inner Reef,Mod,G37,High,883,4,0,1.685
2 Year,JA4,Inner Reef,Mod,G37,High,854,1,0,1.46
2 Year,JA4,Inner Reef,Mod,G37,High,854,2,0,0.513
2 Year,JA4,Inner Reef,Mod,G37,High,854,3,0,0.68
2 Year,JA4,Inner Reef,Mod,G37,High,854,4,0,0.452
2 Year,JA4,Inner Reef,Mod,G37,Low,866,1,0,2.315
2 Year,JA4,Inner Reef,Mod,G37,Low,866,2,0,1.411
2 Year,JA4,Inner Reef,Mod,G37,Low,866,3,1,1.068
2 Year,JA4,Inner Reef,Mod,G37,Low,866,4,1,0.702
2 Year,JA4,Inner Reef,Table,G37,Low,850,1,1,3.829
2 Year,JA4,Inner Reef,Table,G37,Low,850,2,1,0.537
2 Year,JA4,Inner Reef,Table,G37,Low,850,3,1,0.1
2 Year,JA4,Inner Reef,Table,G37,Low,850,4,0,0.211
2 Year,JA4,Inner Reef,Mod,G37,High,880,1,1,0.987
2 Year,JA4,Inner Reef,Mod,G37,High,880,2,0,0.587
2 Year,JA4,Inner Reef,Mod,G37,High,880,3,1,0.66
2 Year,JA4,Inner Reef,Mod,G37,High,880,4,1,0.423
2 Year,JA4,Inner Reef,Mod,G37,Low,862,1,0,2.271
2 Year,JA4,Inner Reef,Mod,G37,Low,862,2,1,1.335
2 Year,JA4,Inner Reef,Mod,G37,Low,862,3,0,0.579
2 Year,JA4,Inner Reef,Mod,G37,Low,862,4,0,2.051
2 Year,JA4,Inner Reef,Mod,G37,High,874,1,1,0.953
2 Year,JA4,Inner Reef,Mod,G37,High,874,2,1,0.315
2 Year,JA4,Inner Reef,Mod,G37,High,874,3,1,0.486
2 Year,JA4,Inner Reef,Mod,G37,High,874,4,1,0.422
2 Year,JA4,Inner Reef,Mod,G37,Low,859,1,0,1.052
2 Year,JA4,Inner Reef,Mod,G37,Low,859,2,0,1.938
2 Year,JA4,Inner Reef,Mod,G37,Low,859,3,0,1.118
2 Year,JA4,Inner Reef,Mod,G37,Low,859,4,0,1.582
2 Year,JA6,Nearshore,Mod,X17,Low,419,1,0,2.103
2 Year,JA6,Nearshore,Mod,X17,Low,419,2,0,0.445
2 Year,JA6,Nearshore,Mod,X17,Low,419,3,1,1.09
2 Year,JA6,Nearshore,Mod,X17,Low,419,4,1,0.271
2 Year,JA6,Nearshore,Mod,X17,High,355,1,0,1.865
2 Year,JA6,Nearshore,Mod,X17,High,355,2,1,1.219
2 Year,JA6,Nearshore,Mod,X17,High,355,3,1,1.235
2 Year,JA6,Nearshore,Mod,X17,High,355,4,0,1.859
2 Year,JA6,Nearshore,Tree,X17,High,441,1,0,2.275
2 Year,JA6,Nearshore,Tree,X17,High,441,2,0,1.501
2 Year,JA6,Nearshore,Tree,X17,High,441,3,0,3.742
2 Year,JA6,Nearshore,Tree,X17,High,441,4,0,3.308
2 Year,JA6,Nearshore,Mod,X17,High,910,1,0,1.752
2 Year,JA6,Nearshore,Mod,X17,High,910,2,0,1.643
2 Year,JA6,Nearshore,Mod,X17,High,910,3,0,0.73
2 Year,JA6,Nearshore,Mod,X17,High,910,4,0,0.868
2 Year,JA6,Nearshore,Mod,X17,Low,427,1,1,1.671
