Site,Reef,Nursery,Array,Position,Size,Tag,Frag,Interval_1,Interval_2,Interval_3,Absolute_Change_2,Absolute_Change_3
JA4,Inner Reef,Tree,H24,Low,Small,10,1,0.345,2.268,3.32,1.923,2.975
JA4,Inner Reef,Tree,H24,Low,Small,10,2,0.07,0,0,-0.07,-0.07
JA4,Inner Reef,Tree,H24,Low,Small,10,3,0.31,0,0,-0.31,-0.31
JA4,Inner Reef,Tree,H24,Low,Medium,10,4,0.849,4.192,4.336,3.343,3.487
JA4,Inner Reef,Tree,H24,Low,Medium,30,1,0.523,2.97,5.198,2.447,4.675
JA4,Inner Reef,Tree,H24,Low,Large,30,2,1.108,5.926,6.087,4.818,4.979
JA4,Inner Reef,Tree,H24,Low,Small,30,3,0.18,1.824,4.266,1.644,4.086
JA4,Inner Reef,Tree,H24,Low,Medium,30,4,0.586,2.206,3.41,1.62,2.824
JA4,Inner Reef,Tree,H24,High,Small,844,1,0.176,0.349,0,0.173,-0.176
JA4,Inner Reef,Tree,H24,High,Large,844,2,1.42,2.694,2.19,1.274,0.77
JA4,Inner Reef,Tree,H24,High,Small,844,3,0.133,0.966,0,0.833,-0.133
JA4,Inner Reef,Tree,H24,High,Small,844,4,0.221,1.84,3.502,1.619,3.281
JA4,Inner Reef,Mod,H24,High,Large,48,1,1.724,3.31,4.197,1.586,2.473
JA4,Inner Reef,Mod,H24,High,Medium,48,2,0.988,3.232,4.688,2.244,3.7
JA4,Inner Reef,Mod,H24,High,Small,48,3,0.48,2.425,4.022,1.945,3.542
JA4,Inner Reef,Mod,H24,High,Large,48,4,1.009,2.171,2.445,1.162,1.436
JA4,Inner Reef,Mod,H24,High,Small,831,1,0.492,1.158,2.518,0.666,2.026
JA4,Inner Reef,Mod,H24,High,Large,831,2,1.397,3.651,5.504,2.254,4.107
JA4,Inner Reef,Mod,H24,High,Medium,831,3,0.523,0.89,1.153,0.367,0.63
JA4,Inner Reef,Mod,H24,High,Medium,831,4,0.952,0,0,-0.952,-0.952
JA4,Inner Reef,Mod,H24,Low,Small,46,1,0.246,2.016,4.079,1.77,3.833
JA4,Inner Reef,Mod,H24,Low,Small,46,2,0.282,0.7,0,0.418,-0.282
JA4,Inner Reef,Mod,H24,Low,Small,46,3,0.228,0,0,-0.228,-0.228
JA4,Inner Reef,Table,H24,Low,Small,46,4,0.109,0,0,-0.109,-0.109
JA4,Inner Reef,Table,H24,High,Medium,824,1,0.774,3.562,5.117,2.788,4.343
JA4,Inner Reef,Mod,H24,High,Small,824,2,0.403,4,3.601,3.597,3.198
JA4,Inner Reef,Table,H24,High,Medium,824,3,0.58,0,0,-0.58,-0.58
JA4,Inner Reef,Table,H24,High,Large,824,4,1.107,0,0,-1.107,-1.107
JA4,Inner Reef,Mod,H24,Low,Large,1,1,1.156,0.948,0.351,-0.208,-0.805
JA4,Inner Reef,Mod,H24,Low,Large,1,2,1.866,4.278,5.572,2.412,3.706
JA4,Inner Reef,Mod,H24,Low,Large,1,3,1.227,2.698,2.889,1.471,1.662
JA4,Inner Reef,Mod,H24,Low,Large,1,4,1.192,3.55,6.38,2.358,5.188
JA4,Inner Reef,Mod,H24,Low,Medium,20,1,0.559,1.44,3.278,0.881,2.719
JA4,Inner Reef,Table,H24,Low,Large,20,2,1.227,3.508,6.426,2.281,5.199
JA4,Inner Reef,Mod,H24,Low,Large,20,3,1.494,4.133,5.818,2.639,4.324
JA4,Inner Reef,Mod,H24,Low,Small,20,4,0.316,0,0,-0.316,-0.316
JA4,Inner Reef,Mod,H24,High,Medium,1098,1,0.802,2.879,6.528,2.077,5.726
JA4,Inner Reef,Mod,H24,High,Large,1098,2,1.176,4.04,3.611,2.864,2.435
JA4,Inner Reef,Mod,H24,High,Medium,1098,3,0.819,2.527,4.565,1.708,3.746
JA4,Inner Reef,Mod,H24,High,Large,1098,4,1.442,5.857,7.085,4.415,5.643
JA4,Inner Reef,Tree,H24,Low,Small,47,1,0.297,0,0,-0.297,-0.297
JA4,Inner Reef,Tree,H24,Low,Small,47,2,0.414,0,0,-0.414,-0.414
JA4,Inner Reef,Tree,H24,Low,Small,47,3,0.105,0,0,-0.105,-0.105
JA4,Inner Reef,Tree,H24,Low,Large,47,4,1.549,0,0,-1.549,-1.549
JA4,Inner Reef,Table,H24,High,Medium,842,1,0.998,2.429,3.129,1.431,2.131
JA4,Inner Reef,Table,H24,High,Small,842,2,0.143,0,0,-0.143,-0.143
JA4,Inner Reef,Table,H24,High,Small,842,3,0.236,1.376,3.651,1.14,3.415
JA4,Inner Reef,Mod,H24,High,Medium,842,4,0.774,0,0,-0.774,-0.774
JA4,Inner Reef,Mod,G37,Low,Small,873,1,0.473,0.663,0,0.19,-0.473
JA4,Inner Reef,Mod,G37,Low,Medium,873,2,0.818,0.772,0,-0.046,-0.818
JA4,Inner Reef,Mod,G37,Low,Medium,873,3,0.814,1.885,0,1.071,-0.814
JA4,Inner Reef,Mod,G37,Low,Large,873,4,1.073,2.829,0,1.756,-1.073
JA4,Inner Reef,Table,G37,High,Large,940,1,1.061,1.552,0,0.491,-1.061
JA4,Inner Reef,Table,G37,High,Large,940,2,2.465,5.037,0,2.572,-2.465
JA4,Inner Reef,Table,G37,High,Medium,940,3,0.733,0.436,0,-0.297,-0.733
JA4,Inner Reef,Table,G37,High,Large,940,4,2.15,3.172,0,1.022,-2.15
JA4,Inner Reef,Mod,G37,High,Small,870,1,0.17,0.697,0.094,0.527,-0.076
JA4,Inner Reef,Mod,G37,High,Small,870,2,0.257,0,0,-0.257,-0.257
JA4,Inner Reef,Mod,G37,High,Medium,870,3,0.796,0.988,1.631,0.192,0.835
JA4,Inner Reef,Mod,G37,High,Small,870,4,0.47,1.616,2.718,1.146,2.248
JA4,Inner Reef,Mod,G37,Low,Medium,894,1,0.644,1.079,0.749,0.435,0.105
JA4,Inner Reef,Mod,G37,Low,Medium,894,2,0.689,1.345,2.631,0.656,1.942
JA4,Inner Reef,Mod,G37,Low,Small,894,3,0.213,0.399,1.098,0.186,0.885
JA4,Inner Reef,Mod,G37,Low,Small,894,4,0.225,0.669,4.3,0.444,4.075
JA4,Inner Reef,Mod,G37,High,Large,883,1,1.166,2.141,2.171,0.975,1.005
JA4,Inner Reef,Mod,G37,High,Large,883,2,1.179,2.129,3.75,0.95,2.571
JA4,Inner Reef,Mod,G37,High,Large,883,3,1.06,3.891,7.621,2.831,6.561
JA4,Inner Reef,Mod,G37,High,Large,883,4,1.685,4.427,6.696,2.742,5.011
JA4,Inner Reef,Mod,G37,High,Large,854,1,1.46,1.916,3.23,0.456,1.77
JA4,Inner Reef,Mod,G37,High,Medium,854,2,0.513,0.685,1.655,0.172,1.142
JA4,Inner Reef,Mod,G37,High,Medium,854,3,0.68,2.89,5.938,2.21,5.258
JA4,Inner Reef,Mod,G37,High,Small,854,4,0.452,0.809,2.236,0.357,1.784
JA4,Inner Reef,Mod,G37,Low,Large,866,1,2.315,1.85,1.999,-0.465,-0.316
JA4,Inner Reef,Mod,G37,Low,Large,866,2,1.411,2.113,4.112,0.702,2.701
JA4,Inner Reef,Mod,G37,Low,Large,866,3,1.068,4.261,0,3.193,-1.068
JA4,Inner Reef,Mod,G37,Low,Medium,866,4,0.702,0,0,-0.702,-0.702
JA4,Inner Reef,Table,G37,Low,Large,850,1,3.829,5.064,0,1.235,-3.829
JA4,Inner Reef,Table,G37,Low,Medium,850,2,0.537,0,0,-0.537,-0.537
JA4,Inner Reef,Table,G37,Low,Small,850,3,0.1,0.585,0,0.485,-0.1
JA4,Inner Reef,Table,G37,Low,Small,850,4,0.211,1.17,2.66,0.959,2.449
JA4,Inner Reef,Mod,G37,High,Medium,880,1,0.987,0,0,-0.987,-0.987
JA4,Inner Reef,Mod,G37,High,Medium,880,2,0.587,1.76,3.362,1.173,2.775
JA4,Inner Reef,Mod,G37,High,Medium,880,3,0.66,1.529,0,0.869,-0.66
JA4,Inner Reef,Mod,G37,High,Small,880,4,0.423,1.556,0,1.133,-0.423
JA4,Inner Reef,Mod,G37,Low,Large,862,1,2.271,4.187,6.854,1.916,4.583
JA4,Inner Reef,Mod,G37,Low,Large,862,2,1.335,1.519,0,0.184,-1.335
JA4,Inner Reef,Mod,G37,Low,Medium,862,3,0.579,1.244,2.179,0.665,1.6
JA4,Inner Reef,Mod,G37,Low,Large,862,4,2.051,4.34,6.329,2.289,4.278
JA4,Inner Reef,Mod,G37,High,Medium,874,1,0.953,1.659,0,0.706,-0.953
JA4,Inner Reef,Mod,G37,High,Small,874,2,0.315,0.575,0,0.26,-0.315
JA4,Inner Reef,Mod,G37,High,Small,874,3,0.486,1.632,0,1.146,-0.486
JA4,Inner Reef,Mod,G37,High,Small,874,4,0.422,0,0,-0.422,-0.422
JA4,Inner Reef,Mod,G37,Low,Large,859,1,1.052,2.885,2.045,1.833,0.993
JA4,Inner Reef,Mod,G37,Low,Large,859,2,1.938,3.165,4.681,1.227,2.743
JA4,Inner Reef,Mod,G37,Low,Large,859,3,1.118,2.514,3.032,1.396,1.914
JA4,Inner Reef,Mod,G37,Low,Large,859,4,1.582,5.881,3.101,4.299,1.519
JA6,Nearshore,Mod,X17,Low,Large,419,1,2.103,3.781,5.225,1.678,3.122
JA6,Nearshore,Mod,X17,Low,Small,419,2,0.445,2.62,3.791,2.175,3.346
JA6,Nearshore,Mod,X17,Low,Large,419,3,1.09,0,0,-1.09,-1.09
JA6,Nearshore,Mod,X17,Low,Small,419,4,0.271,0,0,-0.271,-0.271
JA6,Nearshore,Mod,X17,High,Large,355,1,1.865,2.753,3.732,0.888,1.867
JA6,Nearshore,Mod,X17,High,Large,355,2,1.219,0,0,-1.219,-1.219
JA6,Nearshore,Mod,X17,High,Large,355,3,1.235,0,0,-1.235,-1.235
JA6,Nearshore,Mod,X17,High,Large,355,4,1.859,2.886,3.198,1.027,1.339
JA6,Nearshore,Tree,X17,High,Large,441,1,2.275,4.224,4.718,1.949,2.443
JA6,Nearshore,Tree,X17,High,Large,441,2,1.501,3.951,2.919,2.45,1.418
JA6,Nearshore,Tree,X17,High,Large,441,3,3.742,6.042,6.379,2.3,2.637
JA6,Nearshore,Tree,X17,High,Large,441,4,3.308,5.93,6.654,2.622,3.346
JA6,Nearshore,Mod,X17,High,Large,910,1,1.752,1.864,1.056,0.112,-0.696
JA6,Nearshore,Mod,X17,High,Large,910,2,1.643,3.21,3.406,1.567,1.763
JA6,Nearshore,Mod,X17,High,Medium,910,3,0.73,2.159,2.398,1.429,1.668
JA6,Nearshore,Mod,X17,High,Medium,910,4,0.868,1.756,1.872,0.888,1.004
JA6,Nearshore,Mod,X17,Low,Large,427,1,1.671,2.348,0,0.677,-1.671
JA6,Nearshore,Mod,X17,Low,Medium,427,2,0.593,4.152,0,3.559,-0.593
JA6,Nearshore,Mod,X17,Low,Medium,427,3,0.842,2.016,0,1.174,-0.842
JA6,Nearshore,Mod,X17,Low,Large,427,4,1.313,2.042,3.902,0.729,2.589
JA6,Nearshore,Tree,X17,High,Large,409,1,2.714,4.032,4.06,1.318,1.346
JA6,Nearshore,Tree,X17,High,Small,409,2,0.443,1.773,2.254,1.33,1.811
JA6,Nearshore,Tree,X17,High,Large,409,3,3.267,5.565,5.765,2.298,2.498
JA6,Nearshore,Tree,X17,High,Large,409,4,1.947,3.593,3.641,1.646,1.694
JA6,Nearshore,Tree,X17,Low,Medium,924,1,0.841,0,0,-0.841,-0.841
JA6,Nearshore,Tree,X17,Low,Medium,924,2,0.801,0,0,-0.801,-0.801
JA6,Nearshore,Tree,X17,Low,Small,924,3,0.278,0.102,0.312,-0.176,0.034
JA6,Nearshore,Tree,X17,Low,Large,924,4,1.308,4.102,4.919,2.794,3.611
JA6,Nearshore,Table,X17,High,Large,931,1,1.217,4.641,6.751,3.424,5.534
JA6,Nearshore,Table,X17,High,Medium,931,2,0.9,0.284,0,-0.616,-0.9
JA6,Nearshore,Table,X17,High,Large,931,3,4.46,5.894,6.014,1.434,1.554
JA6,Nearshore,Table,X17,High,Large,931,4,1.921,0,0,-1.921,-1.921
JA6,Nearshore,Mod,X17,Low,Medium,914,1,0.537,0.614,0,0.077,-0.537
JA6,Nearshore,Mod,X17,Low,Small,914,2,0.484,0.034,0.472,-0.45,-0.012
JA6,Nearshore,Mod,X17,Low,Small,914,4,0.222,1.381,2.931,1.159,2.709
JA6,Nearshore,Mod,X17,Low,Medium,423,1,0.746,1.443,1.104,0.697,0.358
JA6,Nearshore,Table,X17,Low,Medium,423,2,0.578,1.759,1.038,1.181,0.46
JA6,Nearshore,Table,X17,Low,Medium,423,3,0.91,0,0,-0.91,-0.91
JA6,Nearshore,Table,X17,Low,Small,423,4,0.151,1.712,0,1.561,-0.151
JA6,Nearshore,Mod,X17,High,Large,455,1,1.346,0,0,-1.346,-1.346
JA6,Nearshore,Mod,X17,High,Large,455,2,1.666,3.319,2.863,1.653,1.197
JA6,Nearshore,Mod,X17,High,Medium,455,3,0.605,1.047,1.429,0.442,0.824
JA6,Nearshore,Mod,X17,High,Large,455,4,1.85,2.853,0,1.003,-1.85
JA6,Nearshore,Mod,X17,Low,Large,933,1,2.035,5.631,4.069,3.596,2.034
JA6,Nearshore,Mod,X17,Low,Large,933,2,1.888,3.71,5.639,1.822,3.751
JA6,Nearshore,Mod,X17,Low,Medium,933,3,0.981,2.502,2.84,1.521,1.859
JA6,Nearshore,Mod,X17,Low,Large,933,4,3.679,2.928,0,-0.751,-3.679
