Event,Days,Site,Reef,Array,Subs,Tag,Position,Sed 1,Sed 2,Sed 3,Sed 4,Sed 5,Sed 6
1 Month,30,JA4,Inner Reef,G37,Low,873,2,3,2,3,3,1,3
1 Month,30,JA4,Inner Reef,G37,Low,873,4,3,4,3,4,4,2
1 Month,30,JA4,Inner Reef,G37,High,940,2,0,0,0,0,0,0
1 Month,30,JA4,Inner Reef,G37,High,940,4,0,0,1,0,0,1
1 Month,30,JA4,Inner Reef,G37,High,870,2,1,1,0,0,2,1
1 Month,30,JA4,Inner Reef,G37,High,870,4,0,0,1,1,0,1
1 Month,30,JA4,Inner Reef,G37,Low,894,2,1,2,1,2,1,4
1 Month,30,JA4,Inner Reef,G37,Low,894,4,0,1,3,1,1,0
1 Month,30,JA4,Inner Reef,G37,High,883,2,0,0,0,1,1,0
1 Month,30,JA4,Inner Reef,G37,High,883,4,0,1,0,0,1,0
1 Month,30,JA4,Inner Reef,G37,High,854,2,2,0,1,1,1,0
1 Month,30,JA4,Inner Reef,G37,High,854,4,3,1,1,0,0,1
1 Month,30,JA4,Inner Reef,G37,Low,866,2,2,4,3,5,4,2
1 Month,30,JA4,Inner Reef,G37,Low,866,4,5,7,7,5,5,6
1 Month,30,JA4,Inner Reef,G37,High,880,2,2,3,2,2,2,1
1 Month,30,JA4,Inner Reef,G37,High,880,4,2,0,2,2,1,0
1 Month,30,JA4,Inner Reef,G37,Low,862,2,2,5,6,6,4,2
1 Month,30,JA4,Inner Reef,G37,Low,862,4,0,3,2,1,2,2
1 Month,30,JA4,Inner Reef,G37,High,874,2,1,1,0,1,0,0
1 Month,30,JA4,Inner Reef,G37,High,874,4,0,0,0,0,0,0
1 Month,30,JA4,Inner Reef,G37,Low,859,2,2,3,2,3,3,3
1 Month,30,JA4,Inner Reef,G37,Low,859,4,3,1,2,3,4,1
1 Month,30,JA4,Inner Reef,H24,Low,10,2,0,0,0,0,0,0
1 Month,30,JA4,Inner Reef,H24,Low,10,4,0,0,0,0,0,1
1 Month,30,JA4,Inner Reef,H24,Low,30,2,0,0,0,0,0,0
1 Month,30,JA4,Inner Reef,H24,Low,30,4,1,1,0,0,0,0
1 Month,30,JA4,Inner Reef,H24,High,844,2,2,2,1,0,0,0
1 Month,30,JA4,Inner Reef,H24,High,844,4,1,1,1,0,0,0
1 Month,30,JA4,Inner Reef,H24,High,48,2,0,0,0,0,0,0
1 Month,30,JA4,Inner Reef,H24,High,48,4,0,0,0,0,0,0
1 Month,30,JA4,Inner Reef,H24,High,831,2,0,0,0,0,1,0
1 Month,30,JA4,Inner Reef,H24,High,831,4,0,0,0,0,1,2
1 Month,30,JA4,Inner Reef,H24,Low,46,2,0,0,0,0,0,1
1 Month,30,JA4,Inner Reef,H24,Low,46,4,0,0,0,0,1,1
1 Month,30,JA4,Inner Reef,H24,High,824,2,0,0,0,0,1,1
1 Month,30,JA4,Inner Reef,H24,High,824,4,0,0,0,0,0,1
1 Month,30,JA4,Inner Reef,H24,Low,1,2,0,0,0,0,1,1
1 Month,30,JA4,Inner Reef,H24,Low,1,4,0,0,0,0,0,1
1 Month,30,JA4,Inner Reef,H24,Low,20,2,0,0,0,0,0,0
1 Month,30,JA4,Inner Reef,H24,Low,20,4,4,4,1,2,1,0
1 Month,30,JA4,Inner Reef,H24,High,1098,2,0,0,0,0,1,1
1 Month,30,JA4,Inner Reef,H24,High,1098,4,0,0,0,0,0,1
1 Month,30,JA4,Inner Reef,H24,Low,47,2,0,0,0,0,0,1
1 Month,30,JA4,Inner Reef,H24,Low,47,4,0,0,0,0,0,1
1 Month,30,JA4,Inner Reef,H24,High,842,2,0,0,0,0,0,0
1 Month,30,JA4,Inner Reef,H24,High,842,4,0,0,0,0,0,0
1 Month,30,JA6,Nearshore,X17,Low,419,2,0,0,0,0,5,3
1 Month,30,JA6,Nearshore,X17,Low,419,4,4,3,2,2,3,0
1 Month,30,JA6,Nearshore,X17,High,355,2,0,0,0,0,0,1
1 Month,30,JA6,Nearshore,X17,High,355,4,0,0,0,1,1,2
1 Month,30,JA6,Nearshore,X17,High,441,2,0,0,0,0,0,0
1 Month,30,JA6,Nearshore,X17,High,441,4,0,0,0,0,0,0
1 Month,30,JA6,Nearshore,X17,High,910,2,0,0,0,0,0,1
1 Month,30,JA6,Nearshore,X17,High,910,4,0,0,0,1,2,2
1 Month,30,JA6,Nearshore,X17,Low,427,2,0,1,3,3,3,3
1 Month,30,JA6,Nearshore,X17,Low,427,4,1,3,4,1,3,3
1 Month,30,JA6,Nearshore,X17,High,409,2,0,0,0,0,0,0
1 Month,30,JA6,Nearshore,X17,High,409,4,0,0,0,0,0,0
1 Month,30,JA6,Nearshore,X17,Low,924,2,0,3,3,0,1,1
1 Month,30,JA6,Nearshore,X17,Low,924,4,0,0,0,0,1,1
1 Month,30,JA6,Nearshore,X17,High,931,2,0,0,0,0,0,0
1 Month,30,JA6,Nearshore,X17,High,931,4,0,0,0,0,1,2
1 Month,30,JA6,Nearshore,X17,Low,914,2,4,3,2,2,1,0
1 Month,30,JA6,Nearshore,X17,Low,914,4,3,3,5,1,1,1
