Site,Array,Tag,Substrate,Height_cm,Height_m,Sed
JA4,H24,1,Low,14,0.14,1.583333333
JA4,H24,10,Low,8,0.08,1.333333333
JA4,H24,20,Low,8,0.08,4
JA4,H24,30,Low,7,0.07,1.333333333
JA4,H24,46,Low,16,0.16,3.666666667
JA4,H24,47,Low,5,0.05,2.083333333
JA4,H24,48,High,23,0.23,0.333333333
JA6,G24  ,48,High,50,0.5,0.333333333
JA6,G24  ,49,High,45,0.45,1.25
JA6,G24  ,50,Low,13,0.13,2.083333333
JA6,G24  ,57,Low,7,0.07,3.916666667
JA6,G24  ,58,Low,5,0.05,2.5
JA6,G24  ,59,High,89,0.89,1.083333333
JA6,G24  ,60,High,45,0.45,2.583333333
JA6,G24  ,65,High,65,0.65,0.583333333
JA6,G24  ,66,Low,8,0.08,2.416666667
Clip,XC8,250,High,65,0.65,2.5
JA6,X17,355,High,23,0.23,1.75
JA6,X17,409,High,41,0.41,2.416666667
JA6,X17,419,Low,0,0,4
JA6,X17,423,Low,0,0,1.833333333
JA6,X17,427,Low,0,0,3.333333333
JA6,X17,441,High,50,0.5,1.333333333
JA6,X17,455,High,28,0.28,1.916666667
JA4,H24,824,High,28,0.28,1.583333333
JA4,H24,831,High,38,0.38,2.916666667
JA4,H24,842,High,21,0.21,1.583333333
JA4,H24,844,High,18,0.18,1.666666667
JA4,G37 ,850,Low,8,0.08,3.333333333
Clip,XC8,851,High,62,0.62,1.75
Clip,CI-2,852,Low,3,0.03,3.25
JA4,G37 ,854,High,56,0.56,1.833333333
JA4,G37 ,859,Low,5,0.05,2.583333333
Clip,CI-2,860,Low,5,0.05,2.333333333
Clip,XC8,861,High,90,0.9,1.833333333
JA4,G37 ,862,Low,16,0.16,2.75
Clip,CI-2,863,Low,8,0.08,2.75
Clip,CI-2,864,Low,5,0.05,3
JA4,G37 ,866,Low,12,0.12,8.5
JA4,G37 ,870,High,34,0.34,2.416666667
Clip,XC8,871,High,52,0.52,0.583333333
Clip,XC8,872,High,82,0.82,0.25
JA4,G37 ,873,Low,12,0.12,2.666666667
JA4,G37 ,874,High,68,0.68,1.083333333
JA4,G37 ,880,High,31,0.31,2.833333333
Clip,XC8,881,High,58,0.58,1.5
Clip,XC8,882,High,80,0.8,0.166666667
JA4,G37 ,883,High,47,0.47,2.166666667
Clip,XC8,890,High,50,0.5,1.416666667
Clip,CI-2,891,Low,2,0.02,4
Clip,CI-2,892,Low,6,0.06,2.083333333
Clip,CI-2,893,Low,2,0.02,2
JA4,G37 ,894,Low,9,0.09,4.166666667
JA6,X17,910,High,32,0.32,1.666666667
JA6,X17,914,Low,0,0,3.416666667
JA6,G24  ,923,High,33,0.33,0.25
JA6,X17,924,Low,0,0,2.333333333
JA6,X17,931,High,25,0.25,2.666666667
JA6,X17,933,Low,0,0,2.25
JA4,G37 ,940,High,39,0.39,1.916666667
JA6,G24  ,1071,Low,3,0.03,2.5
JA6,G24  ,1083,Low,2,0.02,3.333333333
JA4,H24,1098,High,85,0.85,3.666666667
Clip,CI-2,1181,Low,3,0.03,2.5
