Event,Site,Reef,Nursery,Array,Position,Size,Tag,Pos,Status,Time,Days,Date,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Small,10,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Small,10,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Small,10,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Medium,10,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Medium,30,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Large,30,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Small,30,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Medium,30,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,High,Small,844,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,High,Large,844,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,High,Small,844,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,High,Small,844,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Large,48,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Medium,48,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Small,48,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Large,48,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Small,831,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Large,831,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Medium,831,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Medium,831,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Small,46,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Small,46,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Small,46,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,H24,Low,Small,46,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,H24,High,Medium,824,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Small,824,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,H24,High,Medium,824,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,H24,High,Large,824,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Large,1,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Large,1,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Large,1,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Large,1,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Medium,20,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,H24,Low,Large,20,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Large,20,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,Low,Small,20,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Medium,1098,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Large,1098,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Medium,1098,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Large,1098,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Small,47,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Small,47,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Small,47,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Tree,H24,Low,Large,47,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,H24,High,Medium,842,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,H24,High,Small,842,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,H24,High,Small,842,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,H24,High,Medium,842,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Small,873,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Medium,873,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Medium,873,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,Low,Large,873,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,G37,High,Large,940,1,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,G37,High,Large,940,2,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,G37,High,Medium,940,3,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Table,G37,High,Large,940,4,0,0,0,11/20/2023,,,,,,,,,,,,
Outplant,JA4,Inner Reef,Mod,G37,High,Small,870,1,0,0,0,11/20/2023,,,,,,,,,,,,
